"","Corpus","Author","Year","Case"
"5426","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Michigan v Lucas.txt"
"5427","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Michigan v. Fisher.txt"
"5428","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mickens v Taylor.txt"
"5429","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Microsoft v. AT&T.txt"
"5430","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","Middlesex County Sewerage Auth. v Nat'l Sea Clammers Ass'n.txt"
"5431","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Mikutaitis v US.txt"
"5432","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Miller v Albright.txt"
"5433","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Miller v Hall.txt"
"5434","SupremeCourtCorpusFinalEncoded","StevensCleaned","1985","Mills Music, Inc. v Snyder.txt"
"5435","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mills v US.txt"
"5436","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","Minn. State Bd. for Cmty. Colleges v Knight.txt"
"5437","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","Minn. v Clover Leaf Creamery Co..txt"
"5438","SupremeCourtCorpusFinalEncoded","StevensCleaned","1977","Minnesota v Alexander.txt"
"5439","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Minnesota v Olson.txt"
"5440","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","Minnick v Cal. Dep't of Corr..txt"
"5441","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mireles v Waco.txt"
"5442","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mississippi Band of Choctaw Indians v Holyfield.txt"
"5443","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mississippi Power & Light Co. v Mississippi.txt"
"5444","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","Mississippi Republican Executive Committee v Brooks.txt"
"5445","SupremeCourtCorpusFinalEncoded","StevensCleaned","1985","Mitchell v Forsyth.txt"
"5446","SupremeCourtCorpusFinalEncoded","StevensCleaned","1985","Mitsubishi Motors Corp. v Soler Chrysler-Plymouth.txt"
"5447","SupremeCourtCorpusFinalEncoded","StevensCleaned","1980","Mobil Oil Corp. v Comm'r of Taxes.txt"
"5448","SupremeCourtCorpusFinalEncoded","StevensCleaned","2010","Mobil Oil Corp. v Higginbotham.txt"
"5449","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mobil Oil Exploration and Producing Southeast v US.txt"
"5450","SupremeCourtCorpusFinalEncoded","StevensCleaned","1980","Mobile v Bolden.txt"
"5451","SupremeCourtCorpusFinalEncoded","StevensCleaned","1980","Mohasco Corp. v Silver.txt"
"5452","SupremeCourtCorpusFinalEncoded","StevensCleaned","2018","Monell v Dep't of Soc. Servs..txt"
"5453","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Monge v California.txt"
"5454","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Monsanto v. Geertson Seed Farms.txt"
"5455","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","Mont. v US.txt"
"5456","SupremeCourtCorpusFinalEncoded","StevensCleaned","1987","Montana v Hall.txt"
"5457","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Montana v Imlay.txt"
"5458","SupremeCourtCorpusFinalEncoded","StevensCleaned","1983","Montana v Jackson.txt"
"5459","SupremeCourtCorpusFinalEncoded","StevensCleaned","1976","Montanye v Haymes.txt"
"5460","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Montejo v. Louisiana.txt"
"5461","SupremeCourtCorpusFinalEncoded","StevensCleaned","1976","Moody v Daggett.txt"
"5462","SupremeCourtCorpusFinalEncoded","StevensCleaned","1977","Moore v East Cleveland.txt"
"5463","SupremeCourtCorpusFinalEncoded","StevensCleaned","1979","Moore v Sims.txt"
"5464","SupremeCourtCorpusFinalEncoded","StevensCleaned","1978","Moorman Mfg. Co. v Bair.txt"
"5465","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Morales v TWA.txt"
"5466","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Moran v Burbine.txt"
"5467","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Moreau v Klevenhagen.txt"
"5468","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Moreland v Federal Bureau of Prisons.txt"
"5469","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Morgan Stanley Capital Group v. Public Utility District of Snohomish County.txt"
"5470","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Morrison v. National Australia Bank.txt"
"5471","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Morse v. Frederick.txt"
"5472","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Moseley v V Secret Catalogue.txt"
"5473","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mount v Gorelick.txt"
"5474","SupremeCourtCorpusFinalEncoded","StevensCleaned","1985","Mountain States Tel. & Tel. Co. v Pueblo of Santa Ana.txt"
"5475","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Muehler v Mena.txt"
"5476","SupremeCourtCorpusFinalEncoded","StevensCleaned","1987","Mullins Coal Co. v Director, Office of Workers' Compensation Programs, United States Dep't of Labor.txt"
"5477","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mullins v US.txt"
"5478","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Murphy v UPS.txt"
"5479","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Murray v Carrier.txt"
"5480","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Murray v Giarratano.txt"
"5481","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Murray v US.txt"
"5482","SupremeCourtCorpusFinalEncoded","StevensCleaned","1979","N.Y. Tel. Co. v N.Y. State DOL.txt"
"5483","SupremeCourtCorpusFinalEncoded","StevensCleaned","1982","NAACP v Claiborne Hardware Co..txt"
"5484","SupremeCourtCorpusFinalEncoded","StevensCleaned","1980","Nachman Corp. v Pension Benefit Guar. Corp..txt"
"5485","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"NASA v Federal Labor Relations Authority.txt"
"5486","SupremeCourtCorpusFinalEncoded","StevensCleaned","1977","Nashville Gas Co. v Satty.txt"
"5487","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Nat'l League of Cities v Usery.txt"
"5488","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"National Association of Home Builders v. Defenders of Wildlife.txt"
"5489","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"National Cable & Telecommunications Association v Brand X Internet Services.txt"
"5490","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","National Collegiate Athletic Ass'n v Board of Regents.txt"
"5491","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"National Collegiate Athletic Association v Tarkanian.txt"
"5492","SupremeCourtCorpusFinalEncoded","StevensCleaned","1985","National Farmer Union Ins. Cos. v Crow Tribe of Indians.txt"
"5493","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"National Labor Relations Board v Kentucky River Community Care.txt"
"5494","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"National Park Hospitality Association v Department of the Interior.txt"
"5495","SupremeCourtCorpusFinalEncoded","StevensCleaned","1978","National Soc. of Professional Engineers v US.txt"
"5496","SupremeCourtCorpusFinalEncoded","StevensCleaned","1977","National Socialist Party v Skokie.txt"
"5497","SupremeCourtCorpusFinalEncoded","StevensCleaned","1976","Neb. Press Ass'n v Stuart.txt"
"5498","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Nebraska v Wyoming.txt"
"5499","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Neder v us.txt"
"5500","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Negusie v. Holder.txt"
"5501","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Nevada Department of Human Resources v Hibbs.txt"
"5502","SupremeCourtCorpusFinalEncoded","StevensCleaned","1979","Nevada v Hall.txt"
