Feature,Mean Difference,Gender
overruled,0.04108,F
for,0.041057143,F
implicated,0.04104,F
taxed,0.041,F
warrant,0.04094,F
railroad,0.040914286,F
defects,0.0409,F
valid,0.040888889,F
deadly,0.04088,F
showed,0.0407,F
blanket,0.0406,F
carriers,0.040571429,F
unique,0.040542857,F
prospective,0.040533333,F
discrimination,0.040333333,F
decisions,0.0403,F
supervisor,0.0403,F
alimony,0.0401,F
blind,0.0399,F
navigable,0.0399,F
repair,0.0399,F
gregory,0.0398,F
marital,0.0398,F
requirement,0.039733333,F
participating,0.0397,F
title,0.03965,F
prophylactic,0.0396,F
fish,0.039466667,F
epa's,0.0394,F
personal,0.0394,F
traditions,0.0394,F
premised,0.0393,F
alabama,0.0392,F
objects,0.0392,F
worked,0.0392,F
carrier,0.039175,F
participation,0.039028571,F
efforts,0.038725,F
project,0.0387,F
savings,0.0387,F
partnership,0.0386,F
planning,0.0386,F
preliminary,0.0386,F
inside,0.0385,F
park,0.03848,F
retarded,0.03844,F
inappropriate,0.0384,F
pricing,0.0384,F
pursuing,0.0384,F
claim,0.038384615,F
arising,0.038325,F
constitutionality,0.03825,F
properties,0.0382,F
initiative,0.03815,F
shortly,0.0381,F
terry,0.03804,F
sentencer,0.03795,F
alia,0.0379,F
rulings,0.0379,F
seeking,0.037866667,F
enjoy,0.03784,F
adverse,0.0378,F
instruments,0.0378,F
forced,0.037771429,F
advisory,0.037733333,F
living,0.03772,F
differ,0.0377,F
narrowing,0.0376,F
arizona,0.037475,F
apr,0.0374,F
consumption,0.0374,F
estimate,0.0374,F
intact,0.0374,F
doe,0.0373,F
rightly,0.0373,F
race,0.037222222,F
born,0.0372,F
enforceable,0.0372,F
places,0.037125,F
crim,0.0371,F
tariff,0.03704,F
especially,0.037025,F
sheet,0.037,F
anticipated,0.0368,F
compensation,0.036733333,F
richmond,0.0367,F
south,0.0366,F
vice,0.0366,F
runs,0.0365,F
highest,0.03644,F
zone,0.036433333,F
experienced,0.0364,F
advertising,0.036371429,F
bears,0.036314286,F
permitted,0.036311111,F
banking,0.0363,F
treatise,0.036266667,F
recent,0.03625,F
hamilton,0.0362,F
intrusive,0.0362,F
culpability,0.0361,F
mathews,0.0361,F
