Feature,Mean Difference,Gender
stayed,0.0107,F
carries,0.0107,F
protective,0.0107,F
omitted,0.010666667,F
formulation,0.0106,F
uniformly,0.0106,F
exclusively,0.010566667,F
telling,0.0105,F
classes,0.01044,F
pertinent,0.01044,F
single,0.010422222,F
life,0.01042,F
discharges,0.0104,F
reconsider,0.010266667,F
moore,0.01024,F
received,0.0102,F
codified,0.010166667,F
demanding,0.0101,F
diligence,0.0101,F
picture,0.0101,F
date,0.010022222,F
ordinance,0.010022222,F
ongoing,0.01,F
seaman,0.01,F
convicted,0.009822222,F
omission,0.0098,F
purposes,0.0098,F
remedies,0.0098,F
check,0.009666667,F
damages,0.009666667,F
station,0.0096,F
ensuring,0.0095,F
safeguards,0.00944,F
firmly,0.0094,F
stop,0.009375,F
concrete,0.00936,F
upheld,0.00935,F
granted,0.009327273,F
deadly,0.0093,F
enhanced,0.0093,F
warrants,0.00925,F
doc,0.0092,F
proportionality,0.0092,F
reviewed,0.009166667,F
upholding,0.009166667,F
application,0.009138462,F
ended,0.0091,F
inquire,0.0091,F
interlocutory,0.0091,F
display,0.009,F
married,0.009,F
continues,0.00895,F
closely,0.008933333,F
drug,0.008911111,F
path,0.0089,F
fraud,0.008866667,F
denial,0.008844444,F
declares,0.0088,F
relate,0.0088,F
capacity,0.008775,F
timing,0.0087,F
college,0.008666667,F
expectations,0.00864,F
short,0.008622222,F
alternatives,0.0086,F
dwelling,0.0086,F
water,0.008555556,F
resulted,0.008533333,F
letters,0.0085,F
purely,0.0085,F
ability,0.008422222,F
paid,0.008422222,F
environment,0.0084,F
intentionally,0.0084,F
wis,0.0084,F
address,0.008377778,F
bear,0.00835,F
death,0.008333333,F
gen,0.0083,F
losses,0.0083,F
surface,0.0083,F
nov,0.0082,F
pages,0.0082,F
fine,0.008166667,F
conduct,0.008138462,F
involvement,0.0081,F
tribe,0.008022222,F
brady,0.008,F
narrowly,0.008,F
penry,0.008,F
person's,0.008,F
advance,0.007971429,F
metropolitan,0.00795,F
owned,0.007942857,F
accounting,0.0079,F
cut,0.0079,F
rogers,0.0079,F
indicating,0.00788,F
employees,0.007866667,F
eaja,0.0078,F
robbery,0.0078,F
provider,0.007733333,F
sentencing,0.007727273,F
acquittal,0.00764,F
conveyed,0.0076,F
nelson,0.0076,F
account,0.007577778,F
residence,0.007566667,F
expansion,0.0075,F
arbitrary,0.007485714,F
had,0.007485714,F
