id,mean_diff,G
wisdom,0.0256,M
otherwise,0.02558181818181818,M
test,0.02550909090909091,F
lhwca,0.025500000000000002,F
ratified,0.025500000000000002,M
jones,0.025485714285714285,F
conclude,0.02542222222222222,F
enter,0.0254,M
historical,0.025375,M
mich,0.025333333333333333,F
recipient,0.0253,F
code,0.025254545454545457,F
indecent,0.0252,M
convictions,0.02515,F
someone,0.025066666666666668,M
alleging,0.025028571428571428,F
dictates,0.025,F
patently,0.025,M
torts,0.025,M
undoubtedly,0.025,M
completely,0.024966666666666668,F
rulings,0.02495,F
advised,0.02492,M
dismissing,0.0249,F
ready,0.0249,F
better,0.0249,M
somehow,0.0249,M
complied,0.024866666666666665,F
direct,0.02482222222222222,F
cir,0.0248,M
floor,0.0248,M
overrule,0.0248,M
period,0.024781818181818183,F
showed,0.02475,F
candidate,0.02475,M
modern,0.02468,M
terms,0.024527272727272727,M
adopted,0.024422222222222224,M
rightly,0.0244,F
convince,0.0244,M
object,0.02435,M
nevertheless,0.024300000000000002,F
disclosed,0.024300000000000002,M
deliberately,0.0242,F
corruption,0.0242,M
virginia,0.024155555555555555,F
obtaining,0.024142857142857143,M
operations,0.024114285714285713,F
gap,0.0241,M
compare,0.024025,F
supplemental,0.024,F
concern,0.023955555555555556,M
cost,0.023955555555555556,M
i.e,0.02395,F
owed,0.02395,F
ascertain,0.0239,F
backpay,0.0239,F
appealed,0.023833333333333335,F
focuses,0.0238,M
throughout,0.023799999999999998,M
leave,0.02371111111111111,F
pre,0.02370909090909091,M
motions,0.0237,F
purport,0.0237,M
danger,0.023685714285714286,M
precedent,0.02362222222222222,F
challenge,0.02362,F
bia,0.0236,F
pursued,0.0236,F
settled,0.02355,M
postconviction,0.023533333333333333,F
consecutive,0.0235,F
religion,0.0234,F
verdicts,0.0233,F
for,0.02327142857142857,F
founding,0.0232,M
aliens,0.023142857142857142,F
concede,0.0231,M
cranch,0.0231,M
dakota,0.023,F
lists,0.023,F
invocation,0.023,M
motivation,0.023,M
work,0.02294,F
retain,0.022933333333333333,F
responded,0.0229,F
ward,0.0229,F
full,0.022844444444444445,F
contemplated,0.02284,M
attorney,0.02282,F
possess,0.022766666666666668,F
power,0.022753846153846156,M
policy,0.02275,M
adequacy,0.022699999999999998,F
alteration,0.022699999999999998,F
files,0.022699999999999998,F
filed,0.02265,F
heavy,0.0226,F
nuclear,0.0226,M
probability,0.0226,M
trying,0.0226,M
debts,0.0225,F
another,0.02230909090909091,M
always,0.02228888888888889,M
became,0.022285714285714287,F
notwithstanding,0.022257142857142857,F
operative,0.0222,F
emption,0.022175,M
hard,0.022166666666666668,M
instance,0.022133333333333335,F
postal,0.022033333333333335,F
procedure,0.02202,F
officer's,0.022,F
speak,0.022,M
cases,0.021971428571428572,M
technology,0.02195,M
remarks,0.021933333333333332,M
beliefs,0.0219,F
dissented,0.0219,F
removed,0.021857142857142856,F
reaches,0.02184,M
brewer,0.0218,M
competitors,0.0217,M
willingness,0.0217,M
constitutional,0.021676923076923076,M
insist,0.021666666666666667,M
advances,0.0216,F
diversity,0.0216,F
harlow,0.0216,F
incarceration,0.0216,F
against,0.0216,M
votes,0.0216,M
thus,0.021553846153846153,M
secure,0.021514285714285715,F
fla,0.021433333333333332,F
less,0.021333333333333333,M
begin,0.021285714285714286,M
delegation,0.02124,M
delegates,0.0212,M
dictionary,0.0212,M
motives,0.0212,M
ariz,0.021150000000000002,F
dist,0.021142857142857144,F
reasonable,0.021138461538461537,F
burglary,0.02112,F
bus,0.0211,F
foot,0.0211,M
workplace,0.021066666666666668,F
import,0.02104,M
users,0.021,F
valuable,0.021,M
reference,0.020955555555555557,M
ago,0.02094285714285714,M
discharge,0.020925,F
requirement,0.020916666666666667,F
investment,0.020885714285714285,F
preemption,0.020866666666666665,F
assumed,0.02082857142857143,M
deceptive,0.0208,F
connecticut,0.020766666666666666,M
efficiency,0.020733333333333333,F
precludes,0.0207,F
prompted,0.0207,F
denies,0.0207,M
alien,0.020685714285714286,F
becomes,0.020685714285714286,F
commentaries,0.020666666666666667,M
disposed,0.0206,M
words,0.020555555555555556,M
stock,0.020533333333333334,M
efforts,0.0205,F
elimination,0.0205,M
expenditure,0.0205,M
put,0.0205,M
until,0.02048888888888889,F
inquiry,0.020466666666666668,F
apply,0.020466666666666668,M
mean,0.020466666666666668,M
terry,0.0204,F
empt,0.0204,M
empts,0.0204,M
texas,0.020355555555555557,F
true,0.020355555555555557,M
appear,0.02035,M
admission,0.02025,F
insured,0.0202,F
april,0.020142857142857143,F
requirements,0.020139999999999998,F
mind,0.0201,M
organized,0.0201,M
company,0.020022222222222223,F
en,0.019942857142857144,F
problem,0.019911111111111112,M
warranted,0.0199,F
our,0.01987142857142857,M
murders,0.0198,F
trigger,0.0198,F
arises,0.0198,M
dr,0.019771428571428572,F
suspect,0.01975,F
percent,0.019742857142857142,F
sherman,0.019733333333333332,M
felony,0.019725,F
found,0.019661538461538463,M
supervision,0.01964,M
level,0.01962222222222222,F
falsely,0.0196,M
separate,0.019555555555555555,M
deadline,0.01955,F
worked,0.0195,F
proviso,0.0195,M
telecommunications,0.0195,M
sum,0.019424999999999998,F
broad,0.019422222222222223,M
exposed,0.0194,F
lawsuits,0.0194,M
detention,0.01935,M
wl,0.01935,M
preclude,0.019342857142857144,F
treat,0.019342857142857144,M
ballot,0.01932,M
doctrine,0.01932,M
robinson,0.019299999999999998,F
treaties,0.019299999999999998,M
voice,0.019299999999999998,M
submission,0.01928,M
detroit,0.0192,M
send,0.0192,M
like,0.019181818181818182,M
regarding,0.019155555555555554,F
martin,0.0191,F
greater,0.019088888888888888,M
record,0.019066666666666666,F
introduction,0.019066666666666666,M
important,0.01902,M
teacher,0.019,F
lawful,0.019,M
nat,0.019,M
affected,0.01895,M
shall,0.01893846153846154,M
appearance,0.018933333333333333,M
controls,0.0189,F
morgan,0.0189,F
chevron,0.018885714285714287,F
port,0.018866666666666667,F
enacted,0.018866666666666667,M
cooperative,0.0188,F
opportunity,0.018755555555555557,F
rep,0.018755555555555557,F
deciding,0.01875,M
met,0.01874285714285714,F
natural,0.018711111111111112,M
finds,0.0187,M
qualification,0.0187,M
alleged,0.01866,F
too,0.01862222222222222,M
value,0.01854,M
uses,0.018525,F
based,0.018523076923076923,F
endorsed,0.0184,M
federalist,0.0184,M
stating,0.0184,M
volume,0.0184,M
controversy,0.0183,F
representing,0.0183,M
commission,0.01829090909090909,M
uncertainty,0.01828,M
exist,0.018224999999999998,M
kept,0.0182,M
same,0.0182,M
sensible,0.0182,M
spend,0.0182,M
u.s.c,0.018153846153846156,M
ask,0.01814285714285714,M
eliminating,0.018133333333333335,M
brings,0.018099999999999998,M
while,0.018061538461538462,M
related,0.01806,M
ones,0.01804,M
x,0.01804,M
heavily,0.018,F
drawing,0.018,M
superfluous,0.018,M
specified,0.01795,F
strong,0.01795,F
martinez,0.017933333333333332,F
potentially,0.017933333333333332,F
contribution,0.017914285714285712,M
performing,0.0179,F
circumstances,0.017866666666666666,F
husband,0.017866666666666666,F
speed,0.017866666666666666,M
success,0.017839999999999998,F
acknowledges,0.0178,F
irrespective,0.0178,M
statutes,0.017763636363636363,M
qualified,0.01775,F
communicate,0.017733333333333334,M
administer,0.0177,F
preclusion,0.0177,F
indirectly,0.0177,M
party’s,0.0177,M
unfairness,0.0177,M
december,0.017666666666666667,F
rely,0.01765,M
fewer,0.0176,F
goes,0.0176,M
cover,0.01757142857142857,M
entire,0.017555555555555557,M
curiae,0.01755,F
enforced,0.017533333333333335,M
insufficient,0.017485714285714285,F
detail,0.01748,M
certain,0.017466666666666665,M
indicate,0.01745714285714286,F
differs,0.0174,F
notify,0.0174,F
assumptions,0.0174,M
balance,0.017325,F
pipe,0.0173,F
desired,0.0173,M
right,0.01726153846153846,M
books,0.01724,M
missouri,0.01722857142857143,F
ninth,0.017222222222222222,F
possesses,0.0172,F
executive,0.017155555555555556,M
concurrent,0.01715,F
employment,0.01712,F
confer,0.01712,M
marshall,0.0171,M
carried,0.017033333333333334,F
tit,0.017,F
reflects,0.017,M
or,0.016985714285714285,M
accorded,0.016966666666666668,F
treatment,0.016955555555555557,M
