Feature,Mean Difference,Gender
stopped,0.0043,F
harassment,0.00424,F
endorse,0.0042,F
harms,0.0041,F
overt,0.0041,F
classes,0.00404,F
had,0.004028571,F
supreme,0.004016667,F
comptroller,0.004,F
intellectual,0.004,F
married,0.004,F
subsidiaries,0.004,F
balancing,0.003933333,F
peremptory,0.003933333,F
concrete,0.00392,F
weighing,0.0039,F
insurance,0.003777778,F
for,0.003766667,F
amend,0.00372,F
place,0.003709091,F
airlines,0.0037,F
incompatible,0.0037,F
addressing,0.003666667,F
pleaded,0.00364,F
undisputed,0.00364,F
divided,0.003633333,F
evidence,0.003622222,F
jenkins,0.0036,F
b,0.00355,F
bench,0.0035,F
teague,0.00348,F
we,0.003472727,F
noted,0.00336,F
default,0.003342857,F
especially,0.003342857,F
review,0.003342857,F
invoking,0.0033,F
minn,0.0033,F
permits,0.0033,F
offenders,0.003228571,F
proof,0.003222222,F
barriers,0.0032,F
suffer,0.0032,F
commencement,0.0031,F
pricing,0.0031,F
rendering,0.0031,F
tit,0.00304,F
dissented,0.003,F
evidentiary,0.003,F
submit,0.002966667,F
asbestos,0.0029,F
pursued,0.0029,F
proper,0.002888889,F
interior,0.00284,F
arm,0.0028,F
directly,0.002755556,F
process,0.00275,F
discharge,0.0027,F
timing,0.0027,F
valley,0.0027,F
price,0.002688889,F
discovery,0.002625,F
clause,0.0026,F
county’s,0.0026,F
juveniles,0.0026,F
death,0.00255,F
family,0.00255,F
defendants,0.00254,F
december,0.002533333,F
hampshire,0.0025,F
impairment,0.0025,F
moment,0.0025,F
sustain,0.0025,F
hostile,0.0025,F
____,0.002485714,F
missouri,0.002485714,F
prosecuted,0.00245,F
mail,0.002428571,F
bag,0.0024,F
voluntariness,0.0024,F
citizen,0.002225,F
advances,0.0022,F
court’s,0.0022,F
debtor’s,0.0022,F
in,0.0022,F
narrower,0.0022,F
shareholders,0.0022,F
teacher,0.0022,F
contributed,0.0021,F
inflicted,0.0021,F
reversing,0.0021,F
further,0.0021,F
liquor,0.002066667,F
coastal,0.002,F
pages,0.002,F
v,0.002,F
witnesses,0.002,F
challenges,0.00195,F
dealer,0.0019,F
derivative,0.0019,F
occasions,0.0019,F
causation,0.0018,F
conscious,0.0018,F
cooperative,0.0018,F
politics,0.0018,F
report,0.001725,F
distinguishing,0.0017,F
offset,0.0017,F
compelling,0.0017,F
proceeding,0.00165,F
twenty,0.00164,F
overbreadth,0.0016,F
agree,0.0016,F
asked,0.00155,F
discretion,0.00155,F
plaintiff’s,0.001542857,F
fine,0.001533333,F
cut,0.0015,F
county,0.0015,F
contempt,0.001466667,F
live,0.001466667,F
deferential,0.0014,F
historically,0.0014,F
patterson,0.0014,F
each,0.001333333,F
aimed,0.0013,F
enhance,0.0013,F
road,0.0013,F
short,0.0013,F
core,0.001266667,F
mark,0.001266667,F
contractor,0.0012,F
firmly,0.0012,F
