id,mean_diff,G
words,0.037945455,M
secured,0.0378,M
most,0.037781818,M
roughly,0.0377,M
two,0.037690909,M
voir,0.03764,M
mootness,0.0376,M
odd,0.0374,M
named,0.03724,M
appellate,0.0372,M
implausible,0.0372,M
implication,0.0372,M
bona,0.03715,M
fide,0.03715,M
immune,0.0371,M
constitute,0.036866667,M
objective,0.036777778,M
easy,0.03676,M
communicate,0.03675,M
contingent,0.0366,M
declaratory,0.03644,M
feet,0.0364,M
golden,0.0364,M
hypothetical,0.0364,M
territory,0.0364,M
plaintiff’s,0.03635,M
someone,0.0363,M
opinions,0.036175,M
approved,0.03605,M
confront,0.036,M
agents,0.036,M
perjury,0.036,M
energy,0.03595,M
correction,0.0359,M
sections,0.035733333,M
impartial,0.03572,M
both,0.035636364,M
hudson,0.035633333,M
mining,0.0356,M
c.j,0.0355,M
earliest,0.0354,M
franchise,0.0354,M
mills,0.0354,M
workable,0.0354,M
declaring,0.0353,M
essence,0.03524,M
difficulties,0.0352,M
forest,0.0352,M
illustrates,0.0351,M
laws,0.035036364,M
industrial,0.035,M
materially,0.035,M
needed,0.035,M
striking,0.03492,M
ad,0.0349,M
ing,0.034885714,M
argument,0.034872727,M
justification,0.034866667,M
appointment,0.0348,M
feb,0.0348,M
still,0.034777778,M
approach,0.03462,M
lawyer,0.034575,M
dire,0.03444,M
bradley,0.0344,M
provides,0.034309091,M
searching,0.0343,M
outcome,0.034228571,M
dismissal,0.0342,M
article,0.033933333,M
permitting,0.033925,M
initial,0.033911111,M
collins,0.0339,M
tend,0.0338,M
worse,0.0338,M
promulgated,0.03376,M
aside,0.03375,M
zoning,0.0337,M
original,0.033688889,M
taxpayers,0.033633333,M
important,0.0336,M
reveal,0.03355,M
raises,0.03352,M
luggage,0.0334,M
rome,0.03335,M
burdens,0.033342857,M
occurred,0.033325,M
tests,0.0333,M
promise,0.03324,M
intermediate,0.0332,M
van,0.0332,M
rel,0.033,M
automobile,0.032933333,M
selling,0.03292,M
justifying,0.0329,M
between,0.032818182,M
cl,0.0328,M
undoubtedly,0.0328,M
indicating,0.03272,M
adequate,0.032711111,M
prevented,0.0327,M
ignores,0.0326,M
wall,0.0326,M
knows,0.03252,M
decide,0.032377778,M
led,0.032233333,M
employee's,0.0322,M
half,0.0322,M
precise,0.0322,M
non,0.032177778,M
england,0.03192,M
chemical,0.0319,M
regular,0.0319,M
vice,0.0319,M
party’s,0.03184,M
ha,0.0318,M
virtually,0.031675,M
addresses,0.03164,M
discriminate,0.031633333,M
threatened,0.03144,M
trusts,0.0314,M
more,0.031381818,M
commencement,0.0313,M
malice,0.031033333,M
called,0.031022222,M
join,0.031,M
dealer,0.03095,M
term,0.030872727,M
fall,0.030714286,M
god,0.0307,M
inference,0.0307,M
population,0.030685714,M
funds,0.030577778,M
katzenbach,0.0304,M
quality,0.0304,M
speedy,0.03035,M
basic,0.030266667,M
subjected,0.030233333,M
repeat,0.0302,M
funding,0.03012,M
black,0.029911111,M
argued,0.0299,M
receipts,0.0299,M
indians,0.029885714,M
categories,0.029828571,M
hoc,0.0298,M
powers,0.0298,M
details,0.02976,M
estate,0.02965,M
get,0.0296,M
changes,0.029475,M
lines,0.02945,M
complaining,0.0294,M
morrison,0.0294,M
morrissey,0.0294,M
technical,0.0294,M
identified,0.029375,M
legal,0.029254545,M
