id,mean_diff,G
regional,0.068,F
rico,0.0679,F
presidential,0.0678,M
clause,0.067709091,M
introduce,0.0677,F
above,0.067666667,M
sure,0.06765,M
escape,0.067633333,F
warrants,0.06748,F
appellants,0.067475,M
present,0.067472727,M
objects,0.0672,M
lopez,0.06715,M
speaker,0.06715,M
beneficiaries,0.067133333,M
document,0.067109091,F
suffering,0.0671,F
guess,0.0671,M
anything,0.067075,M
observation,0.067057143,M
commits,0.067,F
metropolitan,0.067,F
authorized,0.066911111,M
dictate,0.0668,F
lawful,0.066628571,M
ready,0.0666,F
meets,0.0664,F
mistake,0.0663,M
clarity,0.06624,M
for,0.0662,F
observe,0.0662,M
need,0.066109091,M
enacted,0.066,M
pleaded,0.06595,F
operates,0.06584,F
difficulty,0.065828571,M
republic,0.0658,M
clauses,0.065685714,M
keeping,0.0656,F
sea,0.0656,F
wealth,0.0656,F
commissions,0.0656,M
provision,0.065581818,M
so,0.065581818,M
revocation,0.06552,M
troubling,0.0655,F
matters,0.065466667,M
arbitrate,0.0654,F
co,0.0654,F
abuses,0.0653,M
adding,0.0652,M
references,0.0652,M
establishment,0.065075,F
minnesota,0.065033333,F
pension,0.06484,M
nor,0.064818182,M
divided,0.0648,F
empowered,0.0648,M
religion,0.06475,F
judged,0.0646,F
regarding,0.0646,F
conditional,0.0646,M
earnings,0.0645,F
simply,0.064381818,M
matter,0.064254545,M
reg,0.0641,F
representatives,0.064028571,M
gen,0.064,F
owed,0.064,M
users,0.064,M
statute’s,0.06396,M
defendant,0.063854545,F
massachusetts,0.0637,F
finds,0.063575,M
winship,0.0635,F
joined,0.063428571,F
consistent,0.063422222,M
city,0.06342,M
legislation,0.063377778,M
plurality,0.06324,F
marks,0.063177778,F
avoided,0.06304,M
woman,0.063033333,F
claimant,0.0629,F
robbery,0.062875,F
disease,0.062866667,F
miller,0.062725,F
michigan,0.062675,M
evidence,0.062618182,F
disregards,0.0626,M
goldberg,0.0626,M
rulings,0.0625,F
below,0.062377778,F
opportunities,0.06232,F
evans,0.0623,F
efficiency,0.062266667,F
subsidy,0.062266667,M
harlan,0.06224,M
holding,0.062145455,M
regard,0.06205,F
interest,0.062036364,F
historically,0.062,F
art,0.062,M
oral,0.061977778,F
implementation,0.06196,M
decisionmaking,0.06192,M
everyone,0.0619,M
enact,0.061885714,M
kept,0.0618,M
signature,0.0618,M
wood,0.0618,M
incrimination,0.06175,M
defer,0.061733333,F
democratic,0.061657143,M
pursuing,0.0616,F
legislative,0.0616,M
remotely,0.0616,M
treats,0.0616,M
taylor,0.061533333,F
resist,0.0614,F
senate,0.06135,F
quoting,0.061127273,F
los,0.06112,M
sound,0.061085714,M
note,0.061054545,F
leaving,0.0609,F
restitution,0.0609,F
fed,0.06085,F
victim's,0.0608,F
regularly,0.0608,M
contains,0.06075,M
